ID,Shape_Elongation,Shape_MajorAxisLength,Shape_MaximumDiameter,Shape_MeshSurface,Shape_MinorAxisLength,Shape_Perimeter,Shape_PerimeterSurfaceRatio,Shape_PixelSurface,Shape_Sphericity,Hist_10Percentile,Hist_90Percentile,Hist_Energy,Hist_Entropy,Hist_InterquartileRange,Hist_Kurtosis,Hist_Maximum,Hist_MeanAbsoluteDeviation,Hist_Mean,Hist_Median,Hist_Minimum,Hist_Range,Hist_RobustMeanAbsoluteDeviation,Hist_RootMeanSquared,Hist_Skewness,Hist_TotalEnergy,Hist_Uniformity,Hist_Variance,GLCM_Autocorrelation,GLCM_ClusterProminence,GLCM_ClusterShade,GLCM_ClusterTendency,GLCM_Contrast,GLCM_Correlation,GLCM_DifferenceAverage,GLCM_DifferenceEntropy,GLCM_DifferenceVariance,GLCM_Id,GLCM_Idm,GLCM_Idmn,GLCM_Idn,GLCM_Imc1,GLCM_Imc2,GLCM_InverseVariance,GLCM_JointAverage,GLCM_JointEnergy,GLCM_JointEntropy,GLCM_MCC,GLCM_MaximumProbability,GLCM_SumAverage,GLCM_SumEntropy,GLCM_SumSquares,GLSZM_GrayLevelNonUniformity,GLSZM_GrayLevelNonUniformityNormalized,GLSZM_GrayLevelVariance,GLSZM_HighGrayLevelZoneEmphasis,GLSZM_LargeAreaEmphasis,GLSZM_LargeAreaHighGrayLevelEmphasis,GLSZM_LargeAreaLowGrayLevelEmphasis,GLSZM_LowGrayLevelZoneEmphasis,GLSZM_SizeZoneNonUniformity,GLSZM_SizeZoneNonUniformityNormalized,GLSZM_SmallAreaEmphasis,GLSZM_SmallAreaHighGrayLevelEmphasis,GLSZM_SmallAreaLowGrayLevelEmphasis,GLSZM_ZoneEntropy,GLSZM_ZonePercentage,GLSZM_ZoneVariance
014d843f13a9d86fec945664e2541fe6_R_CC.png,0.30100122,0.09547019,0.10338118,0.012592434,0.03726281,0.08943286,0.5293521,0.012592434,0.6529286,0.68108106,0.8861314,0.01473053,0.81228584,0.23404256,0.20508946,1.0,0.22097684,0.7522873,0.75,0.47029704,0.52970296,0.21832956,0.7547396,0.5292834,0.01473053,0.019888265,0.094828576,0.513724,0.06582436,0.70923,0.096248284,0.3306706,0.407355,0.5210958,0.7487163,0.22901879,0.093548596,0.06527574,0.6403525,0.4460878,0.30511272,0.9939752,0.3473981,0.6205612,0.005307814,0.660483,0.634113,0.008606666,0.6205612,0.761828,0.10924413,0.012301757,0.08583238,0.100857876,0.5686166,0.0030694006,0.025369234,0.0045783813,0.19223818,0.015211407,0.9447242,0.95722103,0.64286846,0.19277382,0.5482953,0.97716606,0.0015160685
02c9621d5af7d0485e20c071f605678c_R_CC.png,0.37001446,0.048972234,0.051875357,0.0053048977,0.019077308,0.04441539,0.6869429,0.0053048977,0.75600475,0.48432434,0.66423357,0.0023388774,0.76834166,0.25531915,0.1670613,0.7126437,0.2626878,0.54405034,0.5243902,0.32178217,0.55445546,0.24515069,0.54676914,0.5395728,0.0023388774,0.027227141,0.12733266,0.43507427,0.057890873,0.713552,0.12397695,0.43122774,0.3540172,0.5715869,0.71697336,0.36012462,0.093265526,0.06867839,0.5371695,0.40858236,0.1593462,0.99758893,0.43789795,0.5449501,0.009791723,0.56570727,0.5770405,0.013407431,0.5449501,0.6936482,0.1438228,0.004196909,0.111823976,0.15799288,0.47205353,0.0014170798,0.020241251,0.008504339,0.35553256,0.007105763,0.9592177,0.97024006,0.53704494,0.35599747,0.46567923,0.9875066,0.0005310387
07a0dbae70b94afb01313eeeeaaef9ac_R_CC.png,0.15792336,0.5691372,0.5180327,0.083244026,0.19197921,0.3581572,0.247883,0.08327082,0.38629267,0.13351351,0.919708,0.06352935,0.9824403,0.7446808,0.022611475,1.0,0.7700329,0.42319134,0.3628049,0.13366337,0.86633664,0.74141675,0.48067254,0.7697081,0.06352935,0.0021824127,0.6630027,0.2957229,0.43299726,0.81193805,0.61354935,0.1710496,0.9108619,0.3112223,0.6563766,0.13516568,0.19386956,0.15035938,0.8124921,0.6618809,0.47130507,0.9895026,0.47806996,0.3258417,0.0013197293,0.88039577,0.84957844,0.018254798,0.3258417,0.9770571,0.61363155,0.052032672,0.008232767,0.58983994,0.31293437,0.011366817,0.019393448,0.0018010656,0.06717642,0.08637708,0.7821104,0.83221096,0.33285558,0.06580699,0.9371888,0.9193562,0.0056014005
0910d9262da2398810b2f2bc32b77088_L_CC.png,0.308282,0.14872839,0.15154596,0.026685243,0.07385831,0.1305154,0.34016645,0.026685243,0.749689,0.70324326,0.95620435,0.035333093,0.8659977,0.24113475,0.16892211,1.0,0.23625353,0.7987337,0.80487806,0.56435645,0.43564355,0.22615163,0.8026899,0.5127646,0.035333093,0.014097189,0.10513894,0.5611787,0.15065439,0.63905835,0.18552712,0.3805107,0.52884406,0.558389,0.8063951,0.2800895,0.10636301,0.081574574,0.58671284,0.4132678,0.42092568,0.9885222,0.35568982,0.652147,0.0028006674,0.75454015,0.7761009,0.012210283,0.652147,0.83131284,0.20164354,0.024619073,0.05851801,0.20754142,0.62333924,0.005314862,0.029204326,0.0028014942,0.11811664,0.030263517,0.90093315,0.923314,0.6995835,0.11863294,0.67847836,0.96034443,0.0025628903
0928a31ce88182b08f89a6aa72354037_L_CC.png,0.48215693,0.043604642,0.049412217,0.006483764,0.032901064,0.042961832,0.5872971,0.006483764,0.8806747,0.5297297,0.93868613,0.0065352283,0.88238704,0.40425533,0.045126814,1.0,0.39114588,0.7175541,0.7256098,0.5841584,0.41584158,0.3814689,0.72922534,0.64141804,0.0065352283,0.012155586,0.21314748,0.38638175,0.30290464,0.65483683,0.4765814,1.2568961,0.32608908,1.1283052,0.9736409,1.0471424,-0.0027724558,-0.0025133472,-0.25293174,-0.08289802,0.037382297,0.9999568,0.26080218,0.45600218,0.007701525,0.5991919,0.6224055,0.011306301,0.45600218,0.79742414,0.5522181,0.0012883313,0.051250555,0.5781198,0.4481785,-0.0025686605,0.016731508,0.009538909,0.39886338,0.009132941,1.0754477,1.0539442,0.52818865,0.39939228,0.65820825,1.0230901,-0.0009824269
0d8fc33c55f2f6af87ee3bd16614e208_R_CC.png,0.34263396,0.08576401,0.09299946,0.012056585,0.04062517,0.07642389,0.49441275,0.012056585,0.76792234,0.64648646,0.9489051,0.015381019,0.8809429,0.29787233,0.09471732,1.0,0.29361412,0.792566,0.8109756,0.66831684,0.33168316,0.28152782,0.7990991,0.5410477,0.015381019,0.012883454,0.13941298,0.48886746,0.40574974,0.48227102,0.4404705,0.5761121,0.63740176,0.6909947,0.8407469,0.4813989,0.1288137,0.11875141,0.39329654,0.29740256,0.1740851,0.99876565,0.37958327,0.55524886,0.0057551092,0.6562071,0.66696084,0.021194626,0.55524886,0.81868386,0.46918076,0.0067212274,0.052139614,0.4939542,0.5225987,0.010449705,0.029679088,0.011302991,0.47111288,0.013182123,0.7903922,0.8390592,0.56082135,0.471379,0.71091485,0.9237508,0.004974142
0f19f51df3ae39481f0a88d5b17b8499_R_CC.png,0.5001099,0.15177166,0.16561931,0.04318937,0.14126468,0.15883836,0.23603429,0.04318937,0.8710535,0.46972972,1.0,0.055270746,0.7631526,0.4397163,0.15348522,1.0,0.50093377,0.75163627,0.81707317,0.14356436,0.85643566,0.44078568,0.775753,0.4485119,0.055270746,0.064934485,0.3666017,0.72270465,0.2250435,0.5456926,0.26207098,0.2210997,0.75758725,0.3294247,0.6734937,0.21392654,0.31502792,0.28389397,0.75919676,0.65273976,0.4517227,0.97755444,0.44001606,0.77813554,0.039937843,0.67572117,0.71601224,0.18986763,0.77813554,0.76086545,0.26689026,0.049756665,0.09307742,0.28355023,0.7372396,0.11467004,0.14042443,0.0018480126,0.0726997,0.040831212,0.7660244,0.80511594,0.78661984,0.0731049,0.6714412,0.77236295,0.109720595
0fab8097f55f21d4bfa7667250122312_L_CC.png,0.2375745,0.28954586,0.3155236,0.06006859,0.12541184,0.30612132,0.30875468,0.06006859,0.36214316,0.6345946,1.0,0.08323185,0.7121931,0.31205675,0.30255842,1.0,0.37037182,0.80765414,0.847561,0.2029703,0.7970297,0.3108951,0.82345754,0.31493518,0.08323185,0.08596868,0.25780788,0.7842362,0.20641695,0.5636982,0.1665248,0.30702755,0.5756496,0.3611591,0.69213414,0.3476773,0.3298824,0.2976148,0.67790145,0.63319933,0.580638,0.9351132,0.42079362,0.8383054,0.04913444,0.6800538,0.43040267,0.21369644,0.8383054,0.7183664,0.17763093,0.087091096,0.12899946,0.20009704,0.81605613,0.07512466,0.105076276,0.0027023654,0.11045694,0.054813437,0.7110926,0.7507735,0.86204904,0.11086308,0.605731,0.7553709,0.06093749
100d1197bd368737356f1da7fc270ae4_R_CC.png,0.33495718,0.037870172,0.041172985,0.0030007502,0.005418357,0.03243424,0.8346526,0.0030007502,0.71790105,0.36216217,1.0,0.0017602163,0.6668788,0.7535461,0.006337858,1.0,0.6590838,0.6489419,0.6280488,0.509901,0.490099,0.73097986,0.6832845,0.7097059,0.0017602163,0.10253118,0.4825584,0.38860086,0.98033184,0.6503465,1.0242506,0.39401218,0.8867735,0.5094556,0.66561043,0.36154288,0.3427446,0.32990214,0.57274497,0.47712007,-0.041607924,0.9991181,0.20787948,0.36795703,0.08564779,0.4138782,0.9115028,0.2698641,0.36795703,0.60220176,1.0382518,-0.00056294096,0.12572148,1.0049249,0.29181612,0.09256708,0.099194534,0.01666009,0.6894267,0.0025015073,0.5879879,0.64875376,0.23292413,0.6894569,0.50342155,0.69220537,0.07214475
1289de4c6d2a9439311af675dd610158_L_CC.png,0.4443047,0.44065186,0.49777412,0.24332869,0.376938,0.47992098,0.07604957,0.24332869,0.7389036,0.4108108,0.9489051,0.2626529,0.89693844,0.44680852,0.15502256,1.0,0.5263208,0.6295162,0.6402439,0.054455444,0.94554454,0.4496935,0.6581881,0.51513046,0.2626529,0.01231113,0.41386926,0.5676294,0.2536886,0.583977,0.27526093,0.07862123,0.88859034,0.17015345,0.5429201,0.06723818,0.2822587,0.22982109,0.91319025,0.81064594,0.6398361,0.94534385,0.6352656,0.64413387,0.0036037972,0.879846,0.79915655,0.047964595,0.64413387,0.8973314,0.27018377,0.22193953,0.039580308,0.26489294,0.60733867,0.03173708,0.052013077,0.00090731797,0.037210193,0.23964529,0.73271054,0.7885778,0.6494444,0.037467882,0.8382895,0.8716087,0.0244169
